adm1_name,adm2_name,adm2_code,lon,lat
Hidalgo,Alfajayucan,MX13006,-99.4054028817029,20.407117131915353
Puebla,Aljojuca,MX21012,-97.51742546724282,19.102602905341858
Coahuila de Zaragoza,Allende,MX05003,-100.9159824474707,28.278388513216015
Chihuahua,Allende,MX08003,-105.30544344285549,27.095397909197604
Nuevo León,Allende,MX19004,-100.02951354348794,25.301446311109988
Hidalgo,Almoloya,MX13007,-98.32706552849197,19.741643605063334
México,Almoloya de Alquisiras,MX15004,-99.86679901478627,18.832981870652812
México,Almoloya de Juárez,MX15005,-99.8294554323703,19.405626388610493
México,Almoloya del Río,MX15006,-99.49187309169702,19.158780003761677
Veracruz de Ignacio de la Llave,Alpatláhuac,MX30008,-97.13567706749424,19.09773022814764
Guerrero,Alpoyeca,MX12005,-98.51056980541927,17.642243918181745
Tamaulipas,Altamira,MX28003,-98.08290520819935,22.542239790895753
Chiapas,Altamirano,MX07004,-91.8626081295559,16.661930860204265
Sonora,Altar,MX26004,-111.92502720270402,31.176760763409074
Puebla,Altepexi,MX21013,-97.30036908767363,18.356348059701034
Veracruz de Ignacio de la Llave,Alto Lucero de Gutiérrez Barrios,MX30009,-96.58346812796466,19.717750814199626
Veracruz de Ignacio de la Llave,Altotonga,MX30010,-97.1273044395357,19.776301942334044
Veracruz de Ignacio de la Llave,Alvarado,MX30011,-95.85532341513309,18.80858303580417
Distrito Federal,Álvaro Obregón,MX09010,-99.24681283674202,19.33618829619608
Michoacán de Ocampo,Álvaro Obregón,MX16003,-101.02175463297051,19.873555099890584
Jalisco,Amacueca,MX14004,-103.62258156494502,19.99995820695636
Morelos,Amacuzac,MX17001,-99.3866873468885,18.590009798764857
México,Amanalco,MX15007,-99.98839314144531,19.250942879215675
Chiapas,Amatán,MX07005,-92.85734448375676,17.385621517216766
Chiapas,Amatenango de la Frontera,MX07006,-92.09750918600587,15.557107555273209
Chiapas,Amatenango del Valle,MX07007,-92.39542739282918,16.51529800737616
México,Amatepec,MX15008,-100.2668020412064,18.7030126896211
Jalisco,Amatitán,MX14005,-103.71724947740766,20.850003731917475
Veracruz de Ignacio de la Llave,Amatitlán,MX30012,-95.68884797032335,18.431624580251203
Nayarit,Amatlán de Cañas,MX18003,-104.40148756129024,20.84854713606751
Veracruz de Ignacio de la Llave,Amatlán de los Reyes,MX30014,-96.87617084426576,18.859770015814288
Tlaxcala,Amaxac de Guerrero,MX29001,-98.181524852726,19.362072015429096
Querétaro de Arteaga,Amealco de Bonfil,MX22001,-100.09865173954363,20.17496867001369
Jalisco,Ameca,MX14006,-104.080548683206,20.541708026055645
México,Amecameca,MX15009,-98.71648998354534,19.124957727374905
Puebla,Amixtlán,MX21014,-97.80068154570856,20.055816247296974
Puebla,Amozoc,MX21015,-98.05310556529447,19.047287687436885
Nuevo León,Anáhuac,MX19005,-100.02552997060911,27.342848956452684
Michoacán de Ocampo,Angamacutiro,MX16004,-101.7277572906345,20.138926464840104
Michoacán de Ocampo,Angangueo,MX16005,-100.29852747432881,19.629233070666327
Chiapas,Angel Albino Corzo,MX07008,-92.68045625224508,15.758186553650692
Veracruz de Ignacio de la Llave,Angel R. Cabada,MX30015,-95.39232072830276,18.602056107559008
Sinaloa,Angostura,MX25002,-108.13005406064553,25.179411204975636
Oaxaca,Ánimas Trujano,MX20174,-96.71620334800255,16.987318978382753
Tamaulipas,Antiguo Morelos,MX28004,-99.07980461277906,22.562406149712317
Hidalgo,Apan,MX13008,-98.44698654822051,19.72294927102016
Guanajuato,Apaseo el Alto,MX11004,-100.57352021345118,20.421867132262804
Guanajuato,Apaseo el Grande,MX11005,-100.62172766584509,20.575540150766585
Michoacán de Ocampo,Apatzingán,MX16006,-102.42329996480788,18.938333124107405
México,Apaxco,MX15010,-99.147896605108,19.984514204351015
Guerrero,Apaxtla,MX12006,-99.98089851496714,18.09127843278413
Veracruz de Ignacio de la Llave,Apazapan,MX30017,-96.67004131356407,19.338236321042928
Tlaxcala,Apetatitlán de Antonio Carvajal,MX29002,-98.19468096941031,19.351505527728385
Tlaxcala,Apizaco,MX29005,-98.12725360197821,19.42326656980918
Nuevo León,Apodaca,MX19006,-100.18733623073435,25.79229786774759
Michoacán de Ocampo,Aporo,MX16007,-100.3954257066646,19.661984910774798
Zacatecas,Apozol,MX32001,-103.07382484463854,21.472363432367462
Zacatecas,Apulco,MX32002,-102.69187960979112,21.467030286348688
Michoacán de Ocampo,Aquila,MX16008,-103.23590413721865,18.37446908420055
Veracruz de Ignacio de la Llave,Aquila,MX30018,-97.3242438004988,18.788891200225788
Chihuahua,Aquiles Serdán,MX08004,-105.82346639940987,28.582280395839025
San Luis Potosí,Aquismón,MX24003,-99.11199585871492,21.723801558252795
Puebla,Aquixtla,MX21016,-97.9302420345511,19.77229903786816
Nuevo León,Aramberri,MX19007,-99.88647418820888,24.22533124449803
Jalisco,Arandas,MX14008,-102.30063567578375,20.76652665581447
Guerrero,Arcelia,MX12007,-100.19878764821003,18.252680071957656
Michoacán de Ocampo,Ario,MX16009,-101.70667295321822,19.15639119537634
Sonora,Arivechi,MX26005,-109.05045517492788,28.872850622558484
Sonora,Arizpe,MX26006,-110.18936946452692,30.41128089997327
San Luis Potosí,Armadillo de los Infante,MX24004,-100.63781900366408,22.269675926725835
Colima,Armería,MX06001,-103.99848502878442,19.009439899533156
Chiapas,Arriaga,MX07009,-93.93743429366529,16.248862693672482
Querétaro de Arteaga,Arroyo Seco,MX22003,-99.63561966715433,21.40928789760815
Coahuila de Zaragoza,Arteaga,MX05004,-100.6424031324274,25.341452945793467
Michoacán de Ocampo,Arteaga,MX16010,-102.2705732888691,18.364230783237293
Chihuahua,Ascensión,MX08005,-107.51978095571327,31.33312595210682
Aguascalientes,Asientos,MX01002,-102.04566041800533,22.126576424623018
Veracruz de Ignacio de la Llave,Astacinga,MX30019,-97.10034018985142,18.56175723771915
Oaxaca,Asunción Cacalotepec,MX20003,-95.92691142471773,17.033834609045172
