adm1_name,adm2_name,adm2_code,pop_total,pop_wra
Guerrero,Xochihuehuetlán,MX12070,8274,2068
Guerrero,Xochistlahuaca,MX12071,31429,7857
Guerrero,Zapotitlán Tablas,MX12072,13557,3389
Guerrero,Zihuatanejo de Azueta,MX12038,129983,32496
Guerrero,Zirándaro,MX12073,17773,4443
Guerrero,Zitlala,MX12074,23357,5839
Hidalgo,Acatlán,MX13001,23855,5964
Hidalgo,Acaxochitlán,MX13002,49200,12300
Hidalgo,Actopan,MX13003,64421,16105
Hidalgo,Agua Blanca de Iturbide,MX13004,10953,2738
Hidalgo,Ajacuba,MX13005,19779,4945
Hidalgo,Alfajayucan,MX13006,19978,4995
Hidalgo,Almoloya,MX13007,13473,3368
Hidalgo,Apan,MX13008,49079,12270
Hidalgo,Atitalaquia,MX13010,33581,8395
Hidalgo,Atlapexco,MX13011,20757,5189
Hidalgo,Atotonilco de Tula,MX13013,66536,16634
Hidalgo,Atotonilco el Grande,MX13012,31623,7906
Hidalgo,Calnali,MX13014,16946,4237
Hidalgo,Cardonal,MX13015,20516,5129
Hidalgo,Chapantongo,MX13017,13574,3394
Hidalgo,Chapulhuacán,MX13018,24332,6083
Hidalgo,Chilcuautla,MX13019,20040,5010
Hidalgo,Cuautepec de Hinojosa,MX13016,64083,16021
Hidalgo,El Arenal,MX13009,21098,5274
Hidalgo,Eloxochitlán,MX13020,2717,679
Hidalgo,Emiliano Zapata,MX13021,15936,3984
Hidalgo,Epazoyucan,MX13022,17219,4305
Hidalgo,Francisco I. Madero,MX13023,38045,9511
Hidalgo,Huasca de Ocampo,MX13024,18661,4665
Hidalgo,Huautla,MX13025,21521,5380
Hidalgo,Huazalingo,MX13026,13662,3415
Hidalgo,Huehuetla,MX13027,24152,6038
Hidalgo,Huejutla de Reyes,MX13028,133831,33458
Hidalgo,Huichapan,MX13029,49563,12391
Hidalgo,Ixmiquilpan,MX13030,103706,25927
Hidalgo,Jacala de Ledezma,MX13031,12790,3198
Hidalgo,Jaltocán,MX13032,11235,2809
Hidalgo,Juárez Hidalgo,MX13033,2999,750
Hidalgo,La Misión,MX13040,10249,2562
Hidalgo,Lolotla,MX13034,10126,2532
Hidalgo,Metepec,MX13035,13962,3491
Hidalgo,Metztitlán,MX13037,21904,5476
Hidalgo,Mineral de la Reforma,MX13051,215993,53998
Hidalgo,Mineral del Chico,MX13038,9448,2362
Hidalgo,Mineral del Monte,MX13039,15145,3786
Hidalgo,Mixquiahuala de Juárez,MX13041,50036,12509
Hidalgo,Molango de Escamilla,MX13042,12239,3060
Hidalgo,Nicolás Flores,MX13043,6559,1640
Hidalgo,Nopala de Villagrán,MX13044,17857,4464
Hidalgo,Omitlán de Juárez,MX13045,9880,2470
Hidalgo,Pachuca de Soto,MX13048,331055,82764
Hidalgo,Pacula,MX13047,4927,1232
Hidalgo,Pisaflores,MX13049,19742,4935
Hidalgo,Progreso de Obregón,MX13050,24916,6229
Hidalgo,San Agustín Metzquititlán,MX13036,9931,2483
Hidalgo,San Agustín Tlaxiaca,MX13052,41378,10344
Hidalgo,San Bartolo Tutotepec,MX13053,18635,4659
Hidalgo,San Felipe Orizatlán,MX13046,40719,10180
Hidalgo,San Salvador,MX13054,38911,9728
Hidalgo,Santiago Tulantepec de Lugo Guerrero,MX13056,43887,10972
Hidalgo,Santiago de Anaya,MX13055,19385,4846
Hidalgo,Singuilucan,MX13057,16163,4041
Hidalgo,Tasquillo,MX13058,18239,4560
Hidalgo,Tecozautla,MX13059,39814,9953
Hidalgo,Tenango de Doria,MX13060,18502,4626
Hidalgo,Tepeapulco,MX13061,58756,14689
Hidalgo,Tepehuacán de Guerrero,MX13062,33101,8275
Hidalgo,Tepeji del Río de Ocampo,MX13063,95522,23881
Hidalgo,Tepetitlán,MX13064,11347,2837
Hidalgo,Tetepango,MX13065,12391,3098
Hidalgo,Tezontepec de Aldama,MX13067,58303,14576
Hidalgo,Tianguistengo,MX13068,15015,3754
Hidalgo,Tizayuca,MX13069,177855,44464
Hidalgo,Tlahuelilpan,MX13070,20289,5072
Hidalgo,Tlahuiltepa,MX13071,9482,2371
Hidalgo,Tlanalapa,MX13072,11914,2979
Hidalgo,Tlanchinol,MX13073,39844,9961
Hidalgo,Tlaxcoapan,MX13074,30403,7601
Hidalgo,Tolcayuca,MX13075,21973,5493
Hidalgo,Tula de Allende,MX13076,120680,30170
Hidalgo,Tulancingo de Bravo,MX13077,178790,44698
Hidalgo,Villa de Tezontepec,MX13066,13761,3440
Hidalgo,Xochiatipan,MX13078,19152,4788
Hidalgo,Xochicoatlán,MX13079,7472,1868
Hidalgo,Yahualica,MX13080,25880,6470
Hidalgo,Zacualtipán de Ángeles,MX13081,40257,10064
Hidalgo,Zapotlán de Juárez,MX13082,23650,5912
Hidalgo,Zempoala,MX13083,62113,15528
Hidalgo,Zimapán,MX13084,41773,10443
Jalisco,Acatic,MX14001,24470,6118
Jalisco,Acatlán de Juárez,MX14002,26097,6524
Jalisco,Ahualulco de Mercado,MX14003,24668,6167
Jalisco,Amacueca,MX14004,6082,1521
Jalisco,Amatitán,MX14005,17318,4329
Jalisco,Ameca,MX14006,62899,15725
Jalisco,Arandas,MX14008,84840,21210
